                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3521,                 1.0545,                 1.8143,                0.73557,                0.98331,                0.77763,                0.49016,                 1.2616,                0.72065,                 1.6846,              0.0010758,              0.0010758,              0.0010758
                     35,                  1.335,                 1.0361,                 1.8097,                0.73345,                0.98989,                0.76842,                0.48135,                 1.2601,                0.74851,                 1.6604,              0.0010747,              0.0010747,              0.0010747
                     36,                 1.3344,                 1.0342,                 1.8038,                 0.6276,                0.90173,                0.91859,                0.57214,                 1.3269,                 1.4019,                 1.7712,              0.0010736,              0.0010736,              0.0010736
                     37,                 1.3511,                 1.0089,                 1.7986,                0.72674,                0.72056,                0.74785,                0.47774,                 1.2529,                0.78542,                 1.6574,              0.0010725,              0.0010725,              0.0010725
                     38,                 1.3603,                 1.0495,                  1.809,                0.70956,                0.71087,                0.73568,                0.45017,                  1.313,                0.87772,                 1.7313,              0.0010714,              0.0010714,              0.0010714
                     39,                 1.2841,                0.96723,                 1.7499,                0.73423,                0.97396,                0.77684,                0.48342,                 1.3071,                 0.8208,                 1.7138,              0.0010703,              0.0010703,              0.0010703
                     40,                 1.3282,                  1.011,                 1.7733,                0.74477,                0.98285,                0.75951,                0.49256,                 1.2194,                0.69948,                 1.6264,              0.0010692,              0.0010692,              0.0010692
                     41,                 1.2753,                0.94554,                 1.7438,                0.71352,                0.90999,                0.72576,                0.43187,                 1.3492,                 1.0932,                 1.8116,              0.0010681,              0.0010681,              0.0010681
                     42,                 1.3041,                0.99274,                 1.7579,                0.72803,                0.73931,                0.75081,                0.48673,                 1.2044,                0.66116,                 1.5952,               0.001067,               0.001067,               0.001067
                     43,                 1.2692,                0.94755,                 1.7422,                0.69395,                0.97503,                 0.7509,                0.48544,                 1.2165,                0.81667,                 1.6092,              0.0010659,              0.0010659,              0.0010659
                     44,                 1.2687,                0.91291,                 1.7187,                0.73909,                0.95588,                0.75105,                0.47074,                 1.2667,                0.85076,                 1.6589,              0.0010648,              0.0010648,              0.0010648
                     45,                 1.2843,                0.94115,                 1.7417,                0.72636,                0.97295,                0.98231,                0.54193,                  1.243,                0.76617,                 1.6384,              0.0010637,              0.0010637,              0.0010637
                     46,                 1.2704,                 0.9479,                 1.7351,                0.74829,                0.96146,                0.75262,                0.47588,                 1.2514,                  0.759,                 1.6443,              0.0010626,              0.0010626,              0.0010626
                     47,                 1.2753,                0.89932,                 1.7145,                0.74848,                0.99002,                0.79763,                0.51842,                  1.249,                0.63623,                 1.6091,              0.0010615,              0.0010615,              0.0010615
                     48,                 1.3071,                0.95168,                 1.7496,                0.75066,                 0.9798,                0.75736,                 0.4914,                 1.2343,                0.66403,                 1.6267,              0.0010604,              0.0010604,              0.0010604
                     49,                   1.27,                0.91473,                 1.7174,                0.72892,                0.96624,                0.75279,                0.49475,                 1.1761,                0.65946,                 1.5521,              0.0010593,              0.0010593,              0.0010593
                     50,                 1.2469,                0.86388,                 1.6857,                0.73699,                 0.9846,                0.76093,                0.48756,                 1.2321,                0.69644,                 1.6284,              0.0010582,              0.0010582,              0.0010582
                     51,                 1.2505,                0.87038,                 1.6928,                0.75074,                0.98938,                 0.7676,                0.49419,                 1.2107,                0.68141,                 1.5799,              0.0010571,              0.0010571,              0.0010571
