                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.98402,                 0.5967,                 1.3994,                0.75273,                0.99383,                 0.7533,                0.57079,                0.93743,                0.46066,                 1.3165,             0.00094822,             0.00094822,             0.00094822
                    151,                  0.958,                0.58966,                 1.3843,                0.75161,                0.99087,                0.76012,                0.58477,                0.91857,                0.46225,                 1.2974,             0.00094712,             0.00094712,             0.00094712
                    152,                0.99323,                0.59541,                 1.4185,                0.75089,                0.99098,                0.75646,                0.55626,                0.99264,                0.50929,                 1.3545,             0.00094602,             0.00094602,             0.00094602
                    153,                 0.9788,                0.60752,                 1.4102,                0.74951,                0.99404,                0.75258,                0.57228,                0.93092,                0.48092,                 1.3143,             0.00094492,             0.00094492,             0.00094492
                    154,                0.99502,                0.61179,                 1.4058,                0.74872,                0.99546,                 0.7526,                0.56388,                0.93265,                0.46588,                 1.2995,             0.00094382,             0.00094382,             0.00094382
                    155,                0.99433,                0.61395,                  1.405,                0.75204,                 0.9963,                0.75311,                0.57273,                0.95086,                 0.4618,                 1.3133,             0.00094272,             0.00094272,             0.00094272
                    156,                0.99079,                0.60338,                 1.3971,                0.75133,                0.99444,                0.75866,                 0.5678,                0.95778,                0.46811,                 1.3372,             0.00094162,             0.00094162,             0.00094162
                    157,                0.95786,                0.59937,                 1.3843,                0.75344,                0.99504,                0.76931,                0.59364,                 0.9122,                0.46095,                 1.2918,             0.00094052,             0.00094052,             0.00094052
                    158,                   1.01,                0.60938,                 1.4145,                0.75142,                0.99626,                0.75578,                0.56366,                 0.9612,                0.47735,                 1.3372,             0.00093942,             0.00093942,             0.00093942
                    159,                0.98573,                0.59657,                 1.3981,                0.75203,                0.99529,                 0.7832,                0.60651,                0.91838,                0.45859,                 1.3061,             0.00093832,             0.00093832,             0.00093832
                    160,                0.97096,                0.58082,                 1.3964,                 0.7499,                0.98735,                0.81666,                0.63738,                0.90839,                0.46676,                 1.2863,             0.00093722,             0.00093722,             0.00093722
                    161,                0.94325,                0.57641,                 1.3813,                0.75196,                 0.9963,                0.76144,                 0.5902,                0.89195,                0.45505,                  1.274,             0.00093612,             0.00093612,             0.00093612
                    162,                0.95923,                 0.5913,                 1.3848,                0.74656,                0.99054,                0.77358,                0.58065,                0.97278,                0.46398,                 1.3564,             0.00093502,             0.00093502,             0.00093502
                    163,                0.98324,                0.58624,                 1.4101,                0.75196,                 0.9963,                0.98291,                0.77627,                0.95854,                0.45822,                 1.3283,             0.00093392,             0.00093392,             0.00093392
                    164,                0.96442,                0.57472,                 1.3788,                0.74897,                0.99166,                0.78335,                0.59317,                0.95848,                0.47661,                 1.3301,             0.00093282,             0.00093282,             0.00093282
                    165,                0.96442,                0.58321,                   1.39,                0.75177,                0.99629,                0.85823,                0.65762,                0.94468,                0.46665,                 1.3027,             0.00093172,             0.00093172,             0.00093172
                    166,                0.94801,                0.57961,                 1.3754,                0.75125,                0.99591,                0.77494,                0.60149,                0.89701,                0.45028,                 1.2899,             0.00093062,             0.00093062,             0.00093062
                    167,                0.95394,                0.58027,                 1.3843,                0.75072,                0.99264,                0.98221,                0.77878,                0.91206,                0.46512,                 1.2866,             0.00092952,             0.00092952,             0.00092952
                    168,                0.93279,                0.56957,                  1.354,                0.75109,                0.99338,                0.75273,                  0.574,                0.93421,                0.46955,                  1.307,             0.00092842,             0.00092842,             0.00092842
                    169,                0.94126,                0.57336,                 1.3639,                0.75109,                0.99389,                0.75306,                0.57327,                0.92884,                0.45476,                 1.3112,             0.00092732,             0.00092732,             0.00092732
                    170,                0.97154,                0.59601,                  1.391,                0.75093,                0.99499,                0.75899,                 0.5757,                0.93419,                0.46796,                 1.3108,             0.00092622,             0.00092622,             0.00092622
                    171,                0.95383,                0.58526,                  1.371,                0.75238,                0.99419,                0.75797,                0.58382,                0.90523,                0.45968,                 1.2859,             0.00092512,             0.00092512,             0.00092512
                    172,                0.94828,                0.56523,                 1.3607,                0.75207,                0.99605,                0.85803,                0.66532,                0.87826,                0.44692,                 1.2714,             0.00092402,             0.00092402,             0.00092402
                    173,                0.92731,                0.57406,                 1.3528,                0.75293,                0.99555,                 0.7527,                0.59559,                0.85665,                0.43518,                 1.2464,             0.00092292,             0.00092292,             0.00092292
                    174,                 0.9449,                 0.5745,                 1.3607,                0.75259,                0.99497,                 0.7531,                0.58538,                0.86006,                0.43791,                 1.2487,             0.00092182,             0.00092182,             0.00092182
                    175,                 0.9187,                 0.5544,                 1.3506,                0.75167,                 0.9963,                0.76161,                 0.5912,                0.87646,                0.44419,                 1.2733,             0.00092072,             0.00092072,             0.00092072
                    176,                0.94547,                0.56835,                 1.3699,                0.75177,                0.99597,                0.81638,                0.63217,                0.91475,                0.46136,                 1.3021,             0.00091962,             0.00091962,             0.00091962
                    177,                0.92145,                0.58285,                 1.3624,                0.75117,                0.99607,                0.75281,                0.58722,                0.86632,                0.43411,                 1.2602,             0.00091852,             0.00091852,             0.00091852
                    178,                0.94027,                0.56264,                 1.3638,                0.75172,                0.99648,                 0.7701,                0.58457,                0.92705,                0.47383,                 1.3004,             0.00091742,             0.00091742,             0.00091742
                    179,                0.94882,                 0.5635,                 1.3597,                0.75357,                 0.9954,                0.75902,                0.59337,                0.87232,                0.44126,                 1.2577,             0.00091632,             0.00091632,             0.00091632
                    180,                0.93381,                0.57449,                 1.3563,                0.75267,                0.99549,                0.79632,                0.63132,                0.85444,                 0.4432,                 1.2422,             0.00091522,             0.00091522,             0.00091522
                    181,                0.94611,                0.56697,                 1.3791,                0.74945,                0.99526,                0.76098,                0.59716,                0.87304,                0.43599,                 1.2578,             0.00091412,             0.00091412,             0.00091412
                    182,                0.91727,                0.56747,                 1.3372,                0.75244,                0.99399,                0.79599,                0.61855,                0.89791,                 0.4531,                 1.2689,             0.00091302,             0.00091302,             0.00091302
                    183,                0.92659,                0.56143,                 1.3542,                0.74791,                0.98995,                0.78274,                0.60313,                0.89237,                0.47879,                 1.2738,             0.00091192,             0.00091192,             0.00091192
                    184,                0.91133,                0.55705,                 1.3393,                0.75078,                0.99547,                0.76413,                0.60399,                0.85531,                0.43571,                 1.2426,             0.00091082,             0.00091082,             0.00091082
                    185,                0.91375,                0.56133,                 1.3418,                0.75282,                 0.9944,                0.78508,                0.61823,                0.84771,                0.43737,                  1.241,             0.00090972,             0.00090972,             0.00090972
                    186,                0.92215,                0.56865,                  1.339,                0.74554,                0.99485,                0.98207,                  0.789,                0.89939,                0.46929,                 1.2806,             0.00090862,             0.00090862,             0.00090862
                    187,                0.92204,                0.54958,                 1.3375,                0.75246,                0.99578,                0.75384,                0.59839,                0.84372,                0.43757,                 1.2322,             0.00090752,             0.00090752,             0.00090752
                    188,                0.94921,                0.57196,                 1.3768,                0.75117,                0.99549,                0.79639,                0.61683,                0.89925,                0.45416,                 1.2742,             0.00090642,             0.00090642,             0.00090642
                    189,                0.93655,                0.55461,                  1.357,                0.74441,                0.98555,                0.85704,                0.66111,                0.94791,                0.48061,                 1.3249,             0.00090532,             0.00090532,             0.00090532
                    190,                0.89979,                0.53955,                  1.336,                 0.7501,                0.99579,                0.75824,                0.58872,                0.89666,                0.45031,                 1.2804,             0.00090422,             0.00090422,             0.00090422
                    191,                0.89948,                0.53273,                 1.3251,                0.75184,                0.99645,                0.98246,                0.77383,                 0.8615,                0.42367,                 1.2425,             0.00090312,             0.00090312,             0.00090312
                    192,                0.91099,                0.53451,                 1.3476,                0.74984,                0.99394,                0.77518,                0.60073,                0.86521,                0.43528,                 1.2634,             0.00090202,             0.00090202,             0.00090202
                    193,                0.91104,                0.56127,                 1.3446,                0.75147,                0.99492,                0.76977,                0.60372,                0.86899,                0.43418,                 1.2653,             0.00090092,             0.00090092,             0.00090092
                    194,                0.92289,                 0.5546,                 1.3407,                0.74519,                0.99374,                0.97957,                0.77174,                0.83607,                 0.4419,                 1.2289,             0.00089982,             0.00089982,             0.00089982
                    195,                0.92418,                0.54368,                 1.3409,                0.75208,                0.99655,                0.76497,                0.60205,                0.85409,                0.42254,                 1.2408,             0.00089872,             0.00089872,             0.00089872
                    196,                 0.9178,                0.54325,                 1.3357,                0.74875,                0.99178,                0.75816,                0.59757,                0.86286,                0.43322,                 1.2513,             0.00089762,             0.00089762,             0.00089762
                    197,                0.90533,                0.54971,                 1.3257,                 0.7524,                0.99273,                 0.7835,                0.61561,                0.88309,                0.45563,                 1.2665,             0.00089652,             0.00089652,             0.00089652
                    198,                0.92498,                0.53963,                 1.3487,                0.75032,                0.99405,                0.81651,                0.64621,                0.84375,                0.43314,                  1.224,             0.00089542,             0.00089542,             0.00089542
                    199,                0.92445,                0.55212,                 1.3451,                0.75133,                0.99341,                0.79628,                0.62951,                0.85466,                0.43173,                 1.2346,             0.00089432,             0.00089432,             0.00089432
                    200,                0.92415,                0.54672,                 1.3459,                0.75061,                0.99511,                0.76877,                0.60543,                0.86879,                0.43372,                 1.2531,             0.00089322,             0.00089322,             0.00089322
                    201,                0.90339,                 0.5339,                   1.31,                0.74874,                0.99364,                 0.8165,                0.63999,                0.90746,                0.44712,                 1.2799,             0.00089212,             0.00089212,             0.00089212
                    202,                0.89006,                0.53833,                 1.3138,                0.74886,                0.99506,                0.81617,                0.64402,                0.87597,                0.44945,                 1.2535,             0.00089102,             0.00089102,             0.00089102
                    203,                0.91555,                0.56892,                 1.3446,                0.74943,                0.99479,                0.85843,                0.69013,                0.84422,                0.43127,                 1.2375,             0.00088992,             0.00088992,             0.00088992
                    204,                0.91497,                0.56495,                 1.3443,                0.75061,                0.99526,                 0.7519,                0.58032,                0.88924,                0.44141,                 1.2714,             0.00088882,             0.00088882,             0.00088882
                    205,                0.87428,                0.52787,                 1.3096,                0.75236,                0.99144,                 0.7562,                0.58622,                0.86575,                0.44634,                 1.2513,             0.00088772,             0.00088772,             0.00088772
                    206,                0.89372,                0.54837,                  1.317,                0.74627,                0.99528,                0.98166,                0.80261,                0.84881,                0.43282,                 1.2401,             0.00088662,             0.00088662,             0.00088662
                    207,                0.92104,                0.54196,                 1.3448,                0.75326,                0.99503,                0.75559,                0.58701,                0.86444,                0.42077,                   1.25,             0.00088552,             0.00088552,             0.00088552
                    208,                0.93832,                 0.5451,                 1.3516,                0.75191,                 0.9964,                0.75554,                0.60263,                0.83696,                0.42331,                 1.2288,             0.00088442,             0.00088442,             0.00088442
                    209,                0.91219,                0.55082,                 1.3337,                0.75197,                0.99641,                0.77483,                0.61878,                0.84635,                0.41778,                 1.2341,             0.00088332,             0.00088332,             0.00088332
                    210,                0.89148,                0.55092,                 1.3289,                0.75229,                0.99621,                0.85834,                0.68223,                0.82887,                0.42218,                 1.2205,             0.00088222,             0.00088222,             0.00088222
                    211,                0.90834,                0.53744,                  1.319,                0.75286,                0.99372,                0.78354,                0.62622,                0.82868,                0.41443,                 1.2205,             0.00088112,             0.00088112,             0.00088112
                    212,                0.88555,                0.53492,                 1.3055,                0.75314,                0.99566,                0.76952,                0.60674,                0.83796,                0.42783,                 1.2342,             0.00088002,             0.00088002,             0.00088002
                    213,                0.86031,                0.51806,                 1.2916,                0.71847,                0.98164,                0.81481,                0.64931,                0.82426,                0.48589,                 1.2211,             0.00087892,             0.00087892,             0.00087892
                    214,                0.90621,                0.53206,                 1.3294,                0.74966,                0.99531,                0.77006,                0.61286,                0.82383,                0.42614,                 1.2236,             0.00087782,             0.00087782,             0.00087782
                    215,                0.88417,                0.54161,                 1.3243,                  0.752,                0.99453,                0.98287,                0.81272,                0.80864,                0.41866,                  1.203,             0.00087672,             0.00087672,             0.00087672
                    216,                0.86604,                0.52786,                 1.3048,                0.75217,                0.99523,                 0.9829,                0.80265,                0.83164,                0.42143,                 1.2258,             0.00087562,             0.00087562,             0.00087562
                    217,                0.90082,                0.52672,                 1.3258,                0.75094,                0.99518,                0.98266,                0.81524,                0.79851,                0.41944,                 1.2048,             0.00087452,             0.00087452,             0.00087452
                    218,                0.89561,                0.53634,                  1.333,                0.75301,                0.99675,                0.75328,                0.59655,                0.83105,                0.42609,                 1.2174,             0.00087342,             0.00087342,             0.00087342
                    219,                0.91143,                0.54374,                   1.33,                0.75394,                0.99673,                0.75493,                0.60042,                0.81985,                0.42072,                 1.2139,             0.00087232,             0.00087232,             0.00087232
                    220,                0.87179,                0.52081,                 1.3112,                0.75415,                 0.9953,                0.98426,                0.80722,                0.81415,                0.42238,                 1.2129,             0.00087122,             0.00087122,             0.00087122
                    221,                0.88176,                0.53955,                  1.319,                0.75284,                0.99649,                0.98322,                0.81034,                0.82118,                0.42258,                 1.2154,             0.00087012,             0.00087012,             0.00087012
                    222,                0.85412,                0.51434,                 1.2934,                0.75184,                0.99596,                 0.8163,                0.66413,                0.82013,                0.40887,                 1.2088,             0.00086902,             0.00086902,             0.00086902
                    223,                0.88544,                0.53278,                 1.3181,                0.75009,                0.98596,                0.98287,                0.78547,                0.89816,                0.45627,                 1.2794,             0.00086792,             0.00086792,             0.00086792
                    224,                0.91095,                0.53524,                 1.3276,                0.75501,                0.99549,                0.76151,                 0.6115,                0.82114,                0.42162,                 1.1979,             0.00086682,             0.00086682,             0.00086682
                    225,                0.89459,                0.52511,                 1.3235,                0.75258,                0.99394,                0.76958,                0.60935,                0.84465,                0.43252,                 1.2257,             0.00086572,             0.00086572,             0.00086572
                    226,                0.88204,                0.51428,                 1.2958,                0.75385,                 0.9943,                0.81719,                0.66291,                0.81621,                0.41741,                 1.2013,             0.00086462,             0.00086462,             0.00086462
                    227,                0.89476,                0.52607,                 1.3143,                0.75115,                0.99785,                0.78394,                0.62952,                0.80704,                0.41646,                 1.2003,             0.00086352,             0.00086352,             0.00086352
                    228,                 0.8605,                0.51442,                 1.2848,                0.75285,                0.99627,                0.77541,                0.62208,                0.83803,                0.42067,                 1.2178,             0.00086242,             0.00086242,             0.00086242
                    229,                0.88551,                0.51296,                  1.301,                0.75279,                0.99575,                0.77571,                0.62564,                0.79811,                0.41125,                  1.192,             0.00086132,             0.00086132,             0.00086132
                    230,                0.88722,                0.52057,                 1.3095,                0.75146,                0.99659,                0.98261,                0.80982,                0.80583,                0.41487,                 1.2071,             0.00086023,             0.00086023,             0.00086023
                    231,                0.88974,                0.53077,                 1.3004,                0.75397,                0.99331,                0.98271,                0.81364,                0.81572,                0.40906,                 1.2087,             0.00085913,             0.00085913,             0.00085913
                    232,                0.87415,                0.51818,                 1.2905,                 0.7522,                0.99396,                0.81692,                0.63997,                0.89235,                0.44262,                 1.2659,             0.00085803,             0.00085803,             0.00085803
                    233,                0.86447,                0.53528,                 1.2885,                0.75575,                0.99569,                0.79733,                 0.6489,                0.79566,                0.41103,                 1.1832,             0.00085693,             0.00085693,             0.00085693
                    234,                0.89341,                0.52125,                 1.3035,                0.75136,                0.99663,                0.98266,                0.80492,                0.82622,                0.41733,                 1.2141,             0.00085583,             0.00085583,             0.00085583
                    235,                0.87095,                 0.5393,                 1.2955,                0.75177,                0.99691,                0.81691,                0.66848,                0.78708,                0.40696,                 1.1867,             0.00085473,             0.00085473,             0.00085473
                    236,                0.86412,                0.53044,                 1.2975,                0.75271,                0.99675,                0.98316,                0.81325,                0.79318,                0.41333,                 1.1957,             0.00085363,             0.00085363,             0.00085363
                    237,                0.85973,                0.52218,                 1.2911,                0.75358,                0.99663,                0.76146,                0.62015,                0.79186,                0.40872,                 1.1816,             0.00085253,             0.00085253,             0.00085253
                    238,                0.87359,                0.51602,                 1.2912,                0.75042,                 0.9974,                0.75448,                0.61252,                 0.7803,                0.41844,                 1.1802,             0.00085143,             0.00085143,             0.00085143
                    239,                 0.8466,                0.50599,                 1.2695,                0.75191,                0.99638,                0.75445,                  0.607,                0.80532,                0.40617,                 1.2001,             0.00085033,             0.00085033,             0.00085033
                    240,                0.87862,                0.53211,                 1.2989,                0.75425,                 0.9963,                0.75925,                0.62248,                0.76612,                0.39577,                 1.1691,             0.00084923,             0.00084923,             0.00084923
                    241,                 0.8507,                0.50927,                   1.27,                0.75443,                0.99638,                0.75668,                0.61197,                0.79469,                0.40414,                 1.1935,             0.00084813,             0.00084813,             0.00084813
                    242,                0.85186,                0.50952,                 1.2855,                0.75026,                0.99607,                  0.754,                0.60492,                0.80667,                0.41546,                 1.1975,             0.00084703,             0.00084703,             0.00084703
                    243,                0.87054,                0.52129,                 1.3019,                0.75183,                0.99407,                0.85782,                0.71329,                0.76008,                0.40563,                  1.166,             0.00084593,             0.00084593,             0.00084593
                    244,                 0.8733,                0.52811,                    1.3,                0.75275,                0.99106,                0.81723,                0.66613,                0.78035,                0.40979,                  1.178,             0.00084483,             0.00084483,             0.00084483
                    245,                0.87314,                0.51816,                 1.2955,                 0.7535,                0.99298,                0.79682,                0.65262,                0.76773,                 0.4019,                 1.1626,             0.00084373,             0.00084373,             0.00084373
                    246,                0.84162,                0.52307,                 1.2739,                0.75237,                0.99432,                0.77065,                0.62829,                0.79003,                0.40676,                 1.1832,             0.00084263,             0.00084263,             0.00084263
                    247,                0.85453,                0.52051,                 1.2801,                0.75369,                 0.9972,                0.81757,                0.67224,                0.77524,                0.40353,                 1.1729,             0.00084153,             0.00084153,             0.00084153
                    248,                0.87803,                0.50649,                 1.2866,                 0.7761,                0.99418,                0.77643,                0.62726,                0.80393,                0.39655,                 1.1889,             0.00084043,             0.00084043,             0.00084043
                    249,                0.85136,                 0.5051,                 1.2779,                0.75421,                0.99576,                0.79629,                0.65554,                0.76417,                0.39526,                 1.1665,             0.00083933,             0.00083933,             0.00083933
                    250,                0.87914,                 0.5217,                 1.3113,                0.75005,                0.99434,                0.75388,                0.61502,                0.76836,                0.41827,                 1.1721,             0.00083823,             0.00083823,             0.00083823
                    251,                0.85167,                0.51294,                 1.2848,                0.75367,                0.99558,                0.77544,                0.63196,                0.77707,                0.39487,                 1.1752,             0.00083713,             0.00083713,             0.00083713
                    252,                0.84873,                0.51414,                 1.2677,                0.75285,                0.99532,                0.75336,                 0.6079,                 0.7895,                0.40169,                 1.1891,             0.00083603,             0.00083603,             0.00083603
                    253,                0.85388,                0.50634,                 1.2866,                0.75427,                0.99623,                0.78535,                0.63835,                0.79726,                0.40312,                 1.1919,             0.00083493,             0.00083493,             0.00083493
                    254,                0.88008,                0.51537,                 1.2833,                0.75238,                0.99294,                0.98148,                0.81745,                0.77129,                0.40218,                 1.1715,             0.00083383,             0.00083383,             0.00083383
                    255,                0.87867,                0.52235,                 1.2832,                0.75109,                0.99641,                0.75326,                0.61095,                0.77324,                0.40024,                 1.1703,             0.00083273,             0.00083273,             0.00083273
                    256,                0.85195,                 0.5033,                  1.277,                0.75386,                 0.9958,                0.77557,                0.63627,                0.74807,                0.38959,                 1.1551,             0.00083163,             0.00083163,             0.00083163
                    257,                0.83269,                0.50351,                 1.2662,                0.75306,                0.99552,                0.79598,                0.65467,                0.77389,                0.39982,                 1.1764,             0.00083053,             0.00083053,             0.00083053
                    258,                0.83991,                0.48621,                 1.2677,                0.75311,                0.99408,                0.85834,                0.71117,                0.76551,                0.39337,                 1.1682,             0.00082943,             0.00082943,             0.00082943
                    259,                0.83772,                0.49431,                 1.2754,                0.75242,                0.99561,                0.81732,                0.66982,                0.77454,                0.40202,                 1.1717,             0.00082833,             0.00082833,             0.00082833
                    260,                0.84213,                0.50094,                 1.2602,                0.75263,                0.99522,                0.76103,                0.61182,                0.79576,                0.40465,                 1.1788,             0.00082723,             0.00082723,             0.00082723
                    261,                0.88935,                0.51882,                 1.3044,                0.75334,                0.99642,                 0.7564,                0.61183,                0.78682,                0.39741,                 1.1834,             0.00082613,             0.00082613,             0.00082613
                    262,                 0.8458,                0.49024,                 1.2676,                0.75067,                0.99294,                0.98262,                0.78618,                 0.8147,                0.41919,                 1.1995,             0.00082503,             0.00082503,             0.00082503
                    263,                0.84044,                0.50923,                 1.2683,                 0.7529,                0.99607,                0.81567,                0.66846,                0.78699,                0.40499,                  1.179,             0.00082393,             0.00082393,             0.00082393
                    264,                0.86777,                0.51578,                 1.2939,                0.75154,                0.99397,                0.79603,                0.64957,                0.78212,                0.40545,                 1.1789,             0.00082283,             0.00082283,             0.00082283
                    265,                0.85033,                0.50328,                  1.272,                0.75408,                0.99638,                0.98276,                0.82244,                0.77226,                0.39355,                 1.1731,             0.00082173,             0.00082173,             0.00082173
                    266,                0.86456,                0.49369,                 1.2791,                0.75009,                0.99679,                0.81696,                0.66206,                0.77245,                0.40049,                  1.169,             0.00082063,             0.00082063,             0.00082063
                    267,                0.84168,                0.50733,                 1.2677,                0.75207,                0.99372,                0.78295,                0.64548,                0.75388,                0.39043,                 1.1602,             0.00081953,             0.00081953,             0.00081953
                    268,                0.85431,                0.51383,                 1.2785,                0.74974,                0.99731,                0.75856,                0.61984,                0.76113,                 0.3989,                 1.1641,             0.00081843,             0.00081843,             0.00081843
                    269,                0.83833,                 0.4975,                 1.2678,                0.75348,                0.99328,                0.85823,                0.69478,                0.82273,                0.40979,                 1.2048,             0.00081733,             0.00081733,             0.00081733
                    270,                0.84525,                0.49914,                 1.2665,                0.75191,                0.99733,                0.75872,                0.62836,                 0.7352,                0.38477,                 1.1442,             0.00081623,             0.00081623,             0.00081623
                    271,                0.83512,                0.48278,                 1.2635,                0.75407,                0.99377,                0.85916,                0.72275,                0.72659,                0.39008,                 1.1421,             0.00081513,             0.00081513,             0.00081513
                    272,                0.85703,                0.49385,                 1.2732,                0.75154,                 0.9969,                0.98299,                0.82765,                0.75231,                0.39196,                 1.1601,             0.00081403,             0.00081403,             0.00081403
                    273,                0.81656,                 0.4915,                 1.2559,                0.75247,                0.99596,                0.75598,                0.61935,                  0.765,                 0.3929,                 1.1657,             0.00081293,             0.00081293,             0.00081293
                    274,                0.83211,                0.50353,                 1.2689,                0.75301,                0.99711,                0.77538,                0.64181,                0.75725,                0.38988,                 1.1544,             0.00081183,             0.00081183,             0.00081183
                    275,                0.85456,                0.49882,                 1.2723,                  0.752,                0.99567,                0.85802,                0.70794,                0.78631,                0.39597,                 1.1781,             0.00081073,             0.00081073,             0.00081073
                    276,                0.83939,                 0.5028,                 1.2572,                0.75218,                0.99605,                0.98238,                0.80602,                0.79277,                 0.4007,                 1.1839,             0.00080963,             0.00080963,             0.00080963
                    277,                0.86966,                0.52344,                 1.2915,                0.75489,                0.99557,                0.77657,                0.63963,                0.76027,                0.39014,                 1.1572,             0.00080853,             0.00080853,             0.00080853
                    278,                0.83002,                 0.4955,                 1.2575,                0.75276,                0.99784,                0.98431,                0.83463,                0.73174,                0.38635,                 1.1375,             0.00080743,             0.00080743,             0.00080743
                    279,                0.84223,                0.49837,                 1.2638,                0.75461,                0.99587,                0.78456,                0.65759,                0.72209,                0.38145,                 1.1279,             0.00080633,             0.00080633,             0.00080633
                    280,                0.84198,                0.49235,                 1.2609,                0.75312,                0.99645,                0.75403,                0.61725,                0.75232,                0.38787,                 1.1637,             0.00080523,             0.00080523,             0.00080523
                    281,                 0.8286,                0.49475,                 1.2632,                0.74907,                0.99792,                0.75312,                0.62671,                0.71952,                0.38392,                 1.1397,             0.00080413,             0.00080413,             0.00080413
                    282,                0.82825,                0.49028,                 1.2524,                0.75075,                0.99643,                0.98264,                0.82447,                0.76862,                0.39099,                 1.1707,             0.00080303,             0.00080303,             0.00080303
                    283,                0.83259,                0.49194,                 1.2622,                  0.755,                0.99511,                0.85814,                0.71779,                 0.7225,                 0.3881,                  1.137,             0.00080193,             0.00080193,             0.00080193
                    284,                0.83008,                0.50297,                 1.2585,                0.75286,                0.99662,                0.98267,                0.82693,                0.74926,                0.39356,                 1.1494,             0.00080083,             0.00080083,             0.00080083
                    285,                0.82952,                0.49257,                  1.255,                0.75487,                0.99585,                0.98255,                0.82563,                0.73642,                0.38286,                 1.1389,             0.00079973,             0.00079973,             0.00079973
                    286,                0.84273,                0.48818,                 1.2724,                0.75399,                0.99556,                0.76129,                0.63343,                0.73847,                0.38012,                 1.1441,             0.00079863,             0.00079863,             0.00079863
                    287,                0.84637,                0.50408,                 1.2715,                0.75361,                0.99595,                0.81694,                0.68808,                0.71395,                0.37708,                 1.1219,             0.00079753,             0.00079753,             0.00079753
                    288,                0.82416,                0.48739,                 1.2594,                 0.7547,                0.99607,                0.75329,                0.62694,                0.72155,                0.37977,                 1.1309,             0.00079643,             0.00079643,             0.00079643
                    289,                0.82267,                0.48881,                 1.2513,                0.75489,                 0.9966,                0.75545,                 0.6267,                 0.7376,                0.37356,                  1.137,             0.00079533,             0.00079533,             0.00079533
                    290,                0.81928,                0.48473,                 1.2486,                0.75161,                0.99607,                0.75374,                0.62582,                0.72319,                0.38085,                 1.1336,             0.00079423,             0.00079423,             0.00079423
                    291,                0.83518,                0.47779,                 1.2568,                0.75378,                0.99545,                 0.7572,                0.63652,                0.69926,                0.37173,                 1.1181,             0.00079313,             0.00079313,             0.00079313
                    292,                0.82048,                0.48513,                 1.2525,                0.75358,                0.99629,                0.75283,                0.61989,                0.75579,                0.39514,                 1.1504,             0.00079203,             0.00079203,             0.00079203
                    293,                0.82293,                 0.4783,                 1.2482,                0.75426,                0.99659,                0.78372,                0.65241,                0.71421,                0.37465,                 1.1281,             0.00079093,             0.00079093,             0.00079093
                    294,                0.79123,                0.48188,                 1.2273,                0.75416,                0.99411,                0.85858,                0.72041,                0.72307,                0.38124,                 1.1304,             0.00078983,             0.00078983,             0.00078983
                    295,                 0.8007,                0.48774,                 1.2473,                0.75372,                0.99734,                0.98339,                0.83563,                0.72031,                0.37941,                 1.1291,             0.00078873,             0.00078873,             0.00078873
                    296,                0.82516,                0.49853,                 1.2483,                 0.7516,                0.99432,                0.98267,                0.82177,                0.75384,                0.39182,                 1.1532,             0.00078763,             0.00078763,             0.00078763
                    297,                0.81905,                0.47969,                 1.2469,                0.75192,                 0.9981,                 0.8173,                0.68208,                0.72871,                0.38252,                  1.137,             0.00078653,             0.00078653,             0.00078653
                    298,                0.78094,                0.46863,                 1.2217,                0.75217,                0.99506,                0.85852,                0.71611,                0.74178,                0.38769,                 1.1408,             0.00078543,             0.00078543,             0.00078543
                    299,                0.79023,                 0.4832,                  1.227,                0.75226,                0.99529,                0.85845,                0.72115,                0.71472,                0.38082,                 1.1216,             0.00078433,             0.00078433,             0.00078433
                    300,                0.82115,                0.48594,                 1.2467,                0.75323,                0.99513,                0.79626,                0.66381,                0.70975,                0.38601,                  1.116,             0.00078323,             0.00078323,             0.00078323
                    301,                0.81788,                0.48138,                 1.2522,                 0.7527,                0.99445,                0.75301,                0.62615,                0.70052,                0.38211,                 1.1124,             0.00078213,             0.00078213,             0.00078213
                    302,                0.82361,                0.48824,                 1.2476,                0.75344,                0.99505,                0.76975,                0.64387,                0.70975,                 0.3879,                 1.1191,             0.00078103,             0.00078103,             0.00078103
                    303,                0.82023,                0.50157,                 1.2465,                0.74805,                0.99728,                0.98217,                0.79899,                0.75983,                 0.4022,                  1.155,             0.00077993,             0.00077993,             0.00077993
                    304,                 0.8142,                0.49838,                 1.2459,                0.75343,                0.99705,                 0.9831,                0.83023,                0.74489,                0.39015,                 1.1406,             0.00077883,             0.00077883,             0.00077883
                    305,                0.81611,                0.48786,                 1.2458,                0.75378,                0.99721,                0.79648,                0.66308,                0.73686,                0.38413,                 1.1288,             0.00077773,             0.00077773,             0.00077773
                    306,                0.79052,                0.46971,                   1.22,                0.75555,                0.99561,                0.98433,                0.81431,                0.70122,                0.37748,                 1.1128,             0.00077663,             0.00077663,             0.00077663
                    307,                0.81317,                0.46982,                  1.233,                0.75488,                0.99638,                0.75467,                0.63154,                0.70669,                0.37775,                 1.1163,             0.00077553,             0.00077553,             0.00077553
